"Year","Site","Longitude","Latitude","pollutant","mean.obs.value"
2005,"120170005",-82.7,28.9806,"PM25",9.16333333333333
2005,"120210004",-81.711,26.27,"O3",0.0354930362116992
2005,"120230002",-82.6192,30.1781,"O3",0.0413856749311295
2005,"120310032",-81.6354,30.3563,"NO2",27.301775147929
2005,"120310032",-81.6354,30.3563,"SO2",6.84705882352941
2005,"120310053",-81.6282,30.3525,"PM10",22.2881355932203
2005,"120310077",-81.5873,30.4777,"O3",0.0405913043478261
2005,"120310080",-81.6523,30.3091,"CO",0.584894259818731
2005,"120310080",-81.6523,30.3091,"SO2",4.33962264150943
2005,"120310081",-81.621,30.4224,"SO2",9.38532110091743
2005,"120310081",-81.6209,30.4225,"SO2",4.27027027027027
2005,"120310083",-81.7054,30.3052,"CO",0.893393393393393
2005,"120310084",-81.6876,30.3205,"CO",0.857758620689655
2005,"120310084",-81.6876,30.3205,"PM10",25.55
2005,"120310089",-81.6396,30.3291,"PM10",21.8032786885246
2005,"120310097",-81.594,30.3675,"SO2",8.04430379746835
2005,"120310098",-81.6342,30.1356,"PM25",10.0860248447205
2005,"120310099",-81.5481,30.3558,"PM25",10.6579881656805
2005,"120310100",-81.454,30.261,"O3",0.0412585227272727
2005,"120330004",-87.2042,30.525,"EC",0.570266666666667
2005,"120330004",-87.2042,30.525,"NH4",1.17716666666667
2005,"120330004",-87.2042,30.525,"NO3",0.565016666666667
2005,"120330004",-87.2042,30.525,"OC",2.26088887215
2005,"120330004",-87.2042,30.525,"PM25",12.0416666666667
2005,"120330004",-87.2042,30.525,"SO4",4.36033333333333
2005,"120330004",-87.2036,30.5254,"NO2",14.6888888888889
2005,"120330004",-87.2036,30.5254,"O3",0.0451428571428571
2005,"120330004",-87.2036,30.5254,"PM10",18.5166666666667
2005,"120330004",-87.2036,30.5254,"SO2",10.7762430939227
2005,"120330018",-87.271,30.3681,"O3",0.0474419263456091
2005,"120330022",-87.2161,30.5449,"SO2",12.3841642228739
2005,"120330024",-87.276,30.399,"O3",0.0456353276353276
2005,"120330025",-87.256,30.437,"PM25",13.95
2005,"120330026",-87.376,30.55,"PM25",12.7125475285171
2005,"120470015",-82.7835,30.4113,"PM10",19.050139275766
2005,"120470015",-82.7835,30.4113,"SO2",6.34277620396601
2005,"120550003",-81.3406,27.1889,"O3",0.0405490196078431
2005,"120570030",-82.5097,27.9319,"PM25",11.1514367816092
2005,"120570053",-82.4812,27.8867,"SO2",7.99175824175824
2005,"120570066",-82.4011,27.8942,"PM10",27.4754098360656
2005,"120570081",-82.4651,27.74,"NO2",14.0165745856354
2005,"120570081",-82.4651,27.74,"O3",0.0417796143250689
2005,"120570081",-82.4651,27.74,"SO2",8.89256198347107
2005,"120570083",-82.3844,27.8639,"PM10",26.6330532212885
2005,"120570085",-82.3683,27.7925,"PM10",18.4262295081967
2005,"120570095",-82.4014,27.9225,"PM10",26.5123287671233
2005,"120570095",-82.4012,27.9228,"SO2",6.26592797783934
2005,"120570109",-82.3835,27.8567,"SO2",14.4305555555556
2005,"120570110",-82.1621,27.7805,"O3",0.0413939393939394
2005,"120571002",-82.4572,27.9475,"PM10",25.9833333333333
2005,"120571035",-82.4547,27.9281,"O3",0.0384540389972145
2005,"120571035",-82.4547,27.9281,"PM10",24.3477011494253
